Ticker;Name;Sector;Industry;ESG Global Score;Market Cap;Size;Debt-to-Equity;PE_Ratio;Beta_Value;Year;ROE_Value;Tot_Return;Next_Year_Return;Momentum_1y;High_Impact_ESG;ESG_x_Sector;Tot_Return_w;Next_Year_Return_w;Size_w;PE_Ratio_w;Debt-to-Equity_w;ROE_Value_w;Momentum_1y_w
CCI.N;crown castle;Real Estate;REIT - Specialty;30.65241605;28854529490;10.460214;171.38638;66.50920897;0.956088055;2015.0;6.972680683;14.32741814;4.500616712;;1.0;30.65241605;14.32741814;4.500616712;10.460214;66.50920897;171.38638;6.972680683;6.337965796500001
CCI.N;crown castle;Real Estate;REIT - Specialty;33.82833598;31289683876;10.49540118;161.0554;66.76156036;0.956088055;2016.0;4.42409853;4.500616712;32.92553158;14.32741814;1.0;33.82833598;4.500616712;32.92553158;10.49540118;66.76156036;161.0554;4.42409853;14.32741814
CCI.N;crown castle;Real Estate;REIT - Specialty;37.63093958;45100597852;10.6541823;130.9629;87.9865575;0.956088055;2017.0;3.246854421;32.92553158;1.735603544;4.500616712;1.0;37.63093958;32.92553158;1.735603544;10.6541823;87.9865575;130.9629;3.246854421;4.500616712
CCI.N;crown castle;Real Estate;REIT - Specialty;61.04595033;45065203514;10.65384134;144.17077;81.88478992;0.956088055;2018.0;4.257621215;1.735603544;35.46450899;32.92553158;1.0;61.04595033;1.735603544;35.46450899;10.65384134;81.88478992;144.17077;4.257621215;32.92553158
CCI.N;crown castle;Real Estate;REIT - Specialty;65.03374816;59101487726;10.77159841;172.76194;87.05690698;0.956088055;2019.0;6.772438803;35.46450899;15.6083148;1.735603544;1.0;65.03374816;35.46450899;15.6083148;10.77159841;87.05690698;172.76194;6.772438803;1.735603544
CCI.N;crown castle;Real Estate;REIT - Specialty;67.55942776;68658304105;10.83669307;203.78396;65.5361789;0.956088055;2020.0;10.01503759;15.6083148;35.07706384;35.46450899;1.0;67.55942776;15.6083148;35.07706384;10.83669307;65.5361789;203.78396;10.01503759;35.46450899
CCI.N;crown castle;Real Estate;REIT - Specialty;64.50060638;90218105988;10.95529371;249.80625;88.57338046;0.956088055;2021.0;13.07071505;35.07706384;-32.51318944;15.6083148;1.0;64.50060638;35.07706384;-32.51318944;10.95529371;88.57338046;249.80625;13.07071505;15.6083148
CRWD.OQ;crowdstrike holdings;Technology;Software;58.75461499;;10.27286735;;;1.087561255;2018.0;;;324.7443353;;0.0;64.53115191;;239.1078588549999;;23.34744954;55.429835;17.605631735000003;24.31911614
CRWD.OQ;crowdstrike holdings;Technology;Software;58.75461499;46868085195;10.67087721;0.0;54.61094024;1.087561255;2020.0;-111.4991703;324.7443353;324.7443353;;0.0;64.53115191;230.0811358019999;239.1078588549999;10.67087721;54.61094024;0.0;-82.1757796999;24.31911614
CRWD.OQ;crowdstrike holdings;Technology;Software;25.72649932;46868085195;10.67087721;0.0;54.61094024;1.087561255;2020.0;-111.4991703;324.7443353;-3.337739589;324.7443353;0.0;64.53115191;230.0811358019999;-3.337739589;10.67087721;54.61094024;0.0;-82.1757796999;209.8260585480008
BLK.N;blackrock;Financial Services;Asset Management;58.51183095;56388797252;10.75119283;17.24983;16.78965207;1.479343131;2015.0;11.97444021;-2.335740773;14.62252221;;0.0;64.53115191;-2.335740773;14.62252221;10.75119283;16.78965207;17.24983;11.97444021;13.64349087
BLK.N;blackrock;Financial Services;Asset Management;62.26417233;61673868546;10.79010119;16.86106;18.96194158;1.479343131;2016.0;10.99980903;14.62252221;38.17844006;-2.335740773;0.0;64.53115191;14.62252221;38.17844006;10.79010119;18.96194158;16.86106;10.99980903;-2.335740773
BLK.N;blackrock;Financial Services;Asset Management;70.06194871;82364234427;10.91573867;15.74353;23.78966584;1.479343131;2017.0;12.40475565;38.17844006;-21.60944508;14.62252221;0.0;64.53115191;38.17844006;-21.60944508;10.91573867;23.78966584;15.74353;12.40475565;14.62252221
BLK.N;blackrock;Financial Services;Asset Management;75.22947059;62269884145;10.79427806;15.35165;13.90234243;1.479343131;2018.0;13.41706663;-21.60944508;31.83256775;38.17844006;0.0;64.53115191;-21.60944508;31.83256775;10.79427806;13.90234243;15.35165;13.41706663;38.17844006
BLK.N;blackrock;Financial Services;Asset Management;75.84518861;78018521214;10.89219771;14.74132;19.26452216;1.479343131;2019.0;13.57989108;31.83256775;47.20117428;-21.60944508;0.0;64.53115191;31.83256775;47.20117428;10.89219771;19.26452216;14.74132;13.57989108;-21.60944508
BLK.N;blackrock;Financial Services;Asset Management;74.66783592;1,10059E+11;11.0416239;20.5581;22.69536829;1.479343131;2020.0;14.33096034;47.20117428;29.41364223;31.83256775;0.0;64.53115191;47.20117428;29.41364223;11.0416239;22.69536829;20.5581;14.33096034;31.83256775
BLK.N;blackrock;Financial Services;Asset Management;78.79856077;1,39089E+11;11.14329369;19.69529;24.70833659;1.479343131;2021.0;16.17244025;29.41364223;-20.37062996;47.20117428;0.0;64.53115191;29.41364223;-20.37062996;11.14329369;24.70833659;19.69529;16.17244025;47.20117428
GPN.N;global payments;Industrials;Specialty Business Services;11.94158771;8345154683;9.921434391;270.12772;;0.822284075;2015.0;31.68180547;59.93413697;7.659227365;;1.0;11.94158771;59.93413697;7.659227365;9.921434391;18.65556623;270.12772;31.68180547;14.98226152
GPN.N;global payments;Industrials;Specialty Business Services;14.90004623;10668135562;10.02808853;170.07421;18.28084712;0.822284075;2016.0;15.50405028;7.659227365;44.48572086;59.93413697;1.0;14.90004623;7.659227365;44.48572086;10.02808853;18.28084712;170.07421;15.50405028;59.93413697
GPN.N;global payments;Industrials;Specialty Business Services;13.59513823;15952437283;10.20282705;133.53275;19.87705731;0.822284075;2017.0;;44.48572086;2.918457595;7.659227365;1.0;13.59513823;44.48572086;2.918457595;10.20282705;19.87705731;133.53275;20.72070122;7.659227365
GPN.N;global payments;Industrials;Specialty Business Services;24.48821411;16290619204;10.21193759;139.27977;17.09731861;0.822284075;2018.0;11.01352773;2.918457595;77.25161043;44.48572086;1.0;24.48821411;2.918457595;77.25161043;10.21193759;17.09731861;139.27977;11.01352773;44.48572086
GPN.N;global payments;Industrials;Specialty Business Services;26.1270051;54809183710;10.73885333;34.17837;24.15565685;0.822284075;2019.0;2.704247921;77.25161043;18.53231965;2.918457595;1.0;26.1270051;77.25161043;18.53231965;10.73885333;24.15565685;34.17837;2.704247921;2.918457595
GPN.N;global payments;Industrials;Specialty Business Services;41.62961855;64483233842;10.80944681;35.11641;26.96545388;0.822284075;2020.0;2.118282093;18.53231965;-36.9116907;77.25161043;1.0;41.62961855;18.53231965;-36.9116907;10.80944681;26.96545388;35.11641;2.118282093;77.25161043
GPN.N;global payments;Industrials;Specialty Business Services;47.01998197;38492566101;10.58537686;46.29991;14.20407082;0.822284075;2021.0;3.645957669;-36.9116907;-25.89740012;18.53231965;1.0;47.01998197;-36.9116907;-25.89740012;10.58537686;14.20407082;46.29991;3.645957669;18.53231965
UNP.N;union pacific;Industrials;Railroads;63.97546894;66792233579;10.82472597;68.59724;11.95301944;0.998246856;2015.0;22.78293667;-32.85297297;35.97581141;;1.0;63.97546894;-32.85297297;35.97581141;10.82472597;11.95301944;68.59724;22.78293667;14.98226152
UNP.N;union pacific;Industrials;Railroads;66.26751002;85443976950;10.93168145;75.29099;18.7891781;0.998246856;2016.0;20.83476891;35.97581141;32.2434722;-32.85297297;1.0;66.26751002;35.97581141;32.2434722;10.93168145;18.7891781;75.29099;20.83476891;-32.85297297
UNP.N;union pacific;Industrials;Railroads;67.22566757;1,05559E+11;11.02349666;68.16865;23.99819611;0.998246856;2017.0;21.65758685;32.2434722;5.273420127;35.97581141;1.0;67.22566757;32.2434722;5.273420127;11.02349666;23.99819611;68.16865;21.65758685;35.97581141
UNP.N;union pacific;Industrials;Railroads;68.0941524;1,01846E+11;11.0079461;109.63619;18.08836249;0.998246856;2018.0;26.35217209;5.273420127;33.67308908;32.2434722;1.0;68.0941524;5.273420127;33.67308908;11.0079461;18.08836249;109.63619;26.35217209;32.2434722
UNP.N;union pacific;Industrials;Railroads;64.49132936;1,25504E+11;11.09865894;139.01147;19.93593243;0.998246856;2019.0;30.70737465;33.67308908;17.66306066;5.273420127;1.0;64.49132936;33.67308908;17.66306066;11.09865894;19.93593243;139.01147;30.70737465;5.273420127
UNP.N;union pacific;Industrials;Railroads;75.42878008;1,40313E+11;11.14709783;157.61882;22.45024923;0.998246856;2020.0;30.49079405;17.66306066;23.32881209;33.67308908;1.0;75.42878008;17.66306066;23.32881209;11.14709783;22.45024923;157.61882;30.49079405;33.67308908
UNP.N;union pacific;Industrials;Railroads;74.89097164;1,6196E+11;11.2094069;209.93574;26.57433387;0.998246856;2021.0;41.92294097;23.32881209;-15.93425902;17.66306066;1.0;74.89097164;23.32881209;-15.93425902;11.2065440396;26.57433387;209.93574;41.92294097;17.66306066
EFX.N;equifax;Industrials;Consulting Services;26.50622269;13168870030;10.11954851;50.53182;26.30329683;1.586738359;2015.0;19.02460652;39.28837932;7.335267375;;1.0;26.50622269;39.28837932;7.335267375;10.11954851;26.30329683;50.53182;19.02460652;14.98226152
EFX.N;equifax;Industrials;Consulting Services;31.41636336;14159379563;10.15104422;98.19572;23.92607868;1.586738359;2016.0;19.65578253;7.335267375;0.949894849;39.28837932;1.0;31.41636336;7.335267375;0.949894849;10.15104422;23.92607868;98.19572;19.65578253;39.28837932
EFX.N;equifax;Industrials;Consulting Services;34.57426424;14159760018;10.15105589;83.49182;19.88214367;1.586738359;2017.0;18.4680749;0.949894849;-19.96954411;7.335267375;1.0;34.57426424;0.949894849;-19.96954411;10.15105589;19.88214367;83.49182;18.4680749;7.335267375
EFX.N;equifax;Industrials;Consulting Services;33.10391105;11229156921;10.05034715;83.51554;15.48795455;1.586738359;2018.0;9.544427112;-19.96954411;52.31579277;0.949894849;1.0;33.10391105;-19.96954411;52.31579277;10.05034715;15.48795455;83.51554;9.544427112;0.949894849
EFX.N;equifax;Industrials;Consulting Services;33.75731118;16966203766;10.22958468;128.96412;24.27884282;1.586738359;2019.0;-14.02644907;52.31579277;38.99844757;-19.96954411;1.0;33.75731118;52.31579277;38.99844757;10.22958468;24.27884282;128.96412;-14.02644907;-19.96954411
EFX.N;equifax;Industrials;Consulting Services;45.84857693;23457627442;10.37028408;136.38601;33.85450498;1.586738359;2020.0;18.0998782;38.99844757;52.83979928;52.31579277;1.0;45.84857693;38.99844757;52.83979928;10.37028408;33.85450498;136.38601;18.0998782;52.31579277
EFX.N;equifax;Industrials;Consulting Services;47.10957122;35749659000;10.5532719;147.03155;45.78463598;1.586738359;2021.0;22.04122734;52.83979928;-33.08811837;38.99844757;1.0;47.10957122;52.83979928;-33.08811837;10.5532719;45.78463598;147.03155;22.04122734;38.99844757
EFX.N;equifax;Industrials;Consulting Services;45.67833529;23798104860;10.37654237;145.65475;22.03405779;1.586738359;2022.0;18.4646395;-33.08811837;28.19687437;52.83979928;1.0;45.67833529;-33.08811837;28.19687437;10.37654237;22.03405779;145.65475;18.4646395;52.83979928
